LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=846332&DL=3318,Honda,34800.0,6950.0,28-Aug-2009,130000.0,2008,682.0,Auto,,23/10/2019,20792.0,20792.0,,1825.0,1496,1100.0,2.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=842556&DL=1277,Toyota,28800.0,6280.0,25-May-2009,100281.0,2009,742.0,Auto,12797.0,23/10/2019,17500.0,17500.0,13943.0,1671.0,1598,1195.0,3.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=801268&DL=2010,Mercedes-Benz,162988.0,15400.0,31-Jan-2019,63.0,2018,740.0,Auto,58852.0,23/10/2019,34366.0,40113.0,31001.0,3382.0,1595,,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=815814&DL=2191,Volkswagen,59800.0,5980.0,29-Dec-2010,,2010,620.0,Auto,,23/10/2019,24118.0,24118.0,,0.0,1390,1360.0,2.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=854496&DL=2756,Suzuki,15800.0,11990.0,17-Jun-2010,137612.0,2010,736.0,Auto,8012.0,23/10/2019,16023.0,16023.0,,214.0,1586,1100.0,2.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=856395&DL=2404,Volvo,86800.0,10690.0,11-Aug-2016,56000.0,2016,1176.0,Auto,60523.0,23/10/2019,25841.0,28178.0,57903.0,2468.0,1969,1672.0,1.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=845119&DL=3210,Honda,62800.0,7580.0,03-Apr-2017,36000.0,2016,684.0,Auto,47309.0,23/10/2019,17652.0,12652.0,50789.0,2705.0,1497,1096.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=860771&DL=3345,Mazda,33800.0,6750.0,29-Jan-2010,153460.0,2009,742.0,Auto,,23/10/2019,20067.0,20067.0,,1825.0,1598,1275.0,3.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=848736&DL=3358,BMW,76500.0,7640.0,26-Nov-2009,110000.0,2009,1796.0,Auto,,23/10/2019,46722.0,46722.0,,0.0,2497,1505.0,5.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=840056&DL=2029,Toyota,63000.0,8640.0,25-Jan-2016,43500.0,2015,742.0,Auto,41525.0,23/10/2019,17804.0,17804.0,45002.0,2281.0,1598,1205.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=858901&DL=3048,Hyundai,27800.0,5630.0,29-Sep-2009,118000.0,2009,738.0,Auto,14557.0,23/10/2019,11821.0,10680.0,14743.0,1495.0,1591,1314.0,2.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=839389&DL=3471,MINI,109000.0,12450.0,15-Jun-2017,40000.0,2016,1210.0,Auto,59010.0,23/10/2019,28993.0,27591.0,50110.0,2767.0,1998,1240.0,1.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=862283&DL=3538,Nissan,55800.0,5580.0,29-Oct-2009,,2009,1794.0,Auto,,23/10/2019,29876.0,29876.0,,0.0,2496,1565.0,3.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=862473&DL=2080,Toyota,59800.0,5980.0,08-Feb-2010,,2009,1198.0,Auto,,23/10/2019,22003.0,22003.0,,0.0,1987,1380.0,2.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=831519&DL=3043,Land,71800.0,13600.0,26-Apr-2013,57000.0,2013,1212.0,Auto,53061.0,23/10/2019,40130.0,48182.0,62000.0,1277.0,1999,1815.0,2.0,SUV
